id,titulo,anio,genero,sinopsis,director,elenco,imagen,estado,tipo,temporadas,episodios,nota_personal,nota_imdb,pendiente,favorito,tmdb_id,fecha_creacion,anotacion_personal,titulo_ingles
2,Troya,2004,"Aventura, Historia, Bélica","A lo largo de los tiempos, los hombres han hecho la guerra. Unos por poder, otros por gloria o por honor, y algunos por amor. En la antigua Grecia, la pasión de dos de los amantes más legendarios de la historia, Paris, príncipe de Troya y Helena, reina de Esparta, desencadena una guerra que asolará una civilización. El rapto de Helena por Paris, separándola de su esposo, el rey Menelao, es un insulto que El orgullo familiar establece que una afrenta a Menelao es una afrenta a su hermano Agamenón, el poderoso rey de Micenas, que no tarda en reunir a todas las grandes tribus de Grecia para recuperar a Helena de manos de los troyanos y defender el honor de su hermano. La verdad es que la lucha por el honor por parte de Agamenón está corrompida por su incontenible codicia ya que necesita conquistar Troya para asumir el control del mar Egeo.",Wolfgang Petersen,"Brad Pitt, Orlando Bloom, Eric Bana, Brian Cox, Sean Bean",https://image.tmdb.org/t/p/w500/mBiDQT28DnuYaJSL4nDD43ORE6p.jpg,Released,película,,,9,7.2,f,t,652,2025-04-28 12:35:42,"- **De mis favoritas de Brad Pit**
- **Peliculon**",Troy
3,Breaking Bad,2008,"Drama, Crimen","Tras cumplir 50 años, Walter White (Bryan Cranston), un profesor de química de un instituto de Albuquerque, Nuevo México, se entera de que tiene un cáncer de pulmón incurable. Casado con Skyler (Anna Gunn) y con un hijo discapacitado (RJ Mitte), la brutal noticia lo impulsa a dar un drástico cambio a su vida: decide, con la ayuda de un antiguo alumno (Aaron Paul), fabricar anfetaminas y ponerlas a la venta. Lo que pretende es liberar a su familia de problemas económicos cuando se produzca el fatal desenlace.","","Bryan Cranston, Aaron Paul, Anna Gunn, RJ Mitte, Dean Norris",https://image.tmdb.org/t/p/w500/ineLOBPG8AZsluYwnkMpHRyu7L.jpg,Ended,serie,5,62,9.5,8.9,f,t,1396,2025-04-28 12:35:42,,
4,El lobo de Wall Street,2013,"Crimen, Drama, Comedia","Película basada en hechos reales del corredor de bolsa neoyorquino Jordan Belfort. A mediados de los años 80, Belfort era un joven honrado que perseguía el sueño americano, pero pronto en la agencia de valores aprendió que lo más importante no era hacer ganar a sus clientes, sino ser ambicioso y ganar una buena comisión. Su enorme éxito y fortuna le valió el mote de ""El lobo de Wall Street"". Dinero. Poder. Mujeres. Drogas. Las tentaciones abundaban y el temor a la ley era irrelevante. Jordan y su manada de lobos consideraban que la discreción era una cualidad anticuada; nunca se conformaban con lo que tenían.",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler",https://image.tmdb.org/t/p/w500/uthRoUeTtiep5HCoySlOjQSPCbJ.jpg,Released,película,,,9,8,f,f,106646,2025-04-28 12:35:42,- **Una de las mejores actuaciones de DiCaprio en mi opinión**,The Wolf of Wall Street
5,Mentes criminales,2005,"Crimen, Drama, Misterio","Mentes criminales (Criminal Minds) es una serie de drama criminológico. Se estrenó el 22 de septiembre de 2005 en el canal de televisión estadounidense, CBS. Muestra el trabajo de los miembros del equipo de Unidad de Análisis de Conducta del FBI, un grupo de investigadores de diversas ramas de la criminología que se dedica a hacer análisis psicológicos y criminológicos a criminales para facilitar su captura.","",Kirsten Vangsness,https://image.tmdb.org/t/p/w500/3UyUgPfcs7ByA9hxbhWSW98xdpg.jpg,Returning Series,serie,18,354,8.3,8.3,f,f,4057,2025-04-28 12:35:42,,Criminal Minds
6,The O.C.,2003,Drama,"Serie de jóvenes guapos y sanos ambientada en la idílica Newport Beach, del condado Orange de California. Una serie sobre relaciones, rivalidades y traiciones entre maridos, esposas, padres, hijos y amigos.... La serie se centra en Ryan Atwood, (Benjamín Mckenzie), un cauteloso e inteligente chico de 16 años que se traslada a la rica y privilegiada comunidad de Newport Beach, y donde pronto descubre que las familias relevantes de Orange County son tan provincianas como la gente con la que convivía en las calles del Barrio Chino. En Newport Beach, Ryan es acogido por Sandy Cohen, un idealista abogado defensor y su mujer Kirsten, el alma de la sociedad del Condado de Orange.","","Peter Gallagher, Kelly Rowan, Ben McKenzie, Adam Brody, Melinda Clarke",https://image.tmdb.org/t/p/w500/xDc6BMGDaeyalpSZ9KKk7RCBCz5.jpg,Ended,serie,4,92,10,7.8,f,t,2673,2025-04-28 12:35:42,- **Mi serie favorita**,
7,Lo mejor de mí,2014,"Drama, Romance","Dawson y Amanda, dos antiguos novios del instituto que tuvieron que separarse por presión del padre de ella, se reencuentran tras 20 años, cuando ambos vuelven a visitar su pueblo natal...",Michael Hoffman,"Michelle Monaghan, James Marsden, Luke Bracey, Liana Liberato, Gerald McRaney",https://image.tmdb.org/t/p/w500/47VDL1LRHXfofzXTLrGFe8QpxD4.jpg,Released,película,,,8,7.5,f,f,239571,2025-04-28 12:35:42,,The Best of Me
8,One Tree Hill,2003,Drama,"Los protagonistas son dos adolescentes con vidas paralelas, aunque muy diferentes, que viven en un pueblo de Carolina del Norte. Los une un oscuro secreto: son hijos del mismo padre. Después de crecer en ambientes muy distintos, de repente, sus vidas se cruzan.","","James Lafferty, Bethany Joy Lenz, Sophia Bush, Austin Nichols, Robert Buckley",https://image.tmdb.org/t/p/w500/sOrelBaAhp7DZbPTivDwKEyPslC.jpg,Ended,serie,9,187,9.5,7.8,f,t,269,2025-04-28 12:35:42,"- **Del estilo de The O.C**
- **De mis favoritas**",
9,El caballero oscuro,2008,"Drama, Acción, Crimen, Suspense","Batman/Bruce Wayne regresa para continuar su guerra contra el crimen. Con la ayuda del teniente Jim Gordon y del Fiscal del Distrito Harvey Dent, Batman se propone destruir el crimen organizado en la ciudad de Gotham. El triunvirato demuestra su eficacia, pero, de repente, aparece Joker, un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal",https://image.tmdb.org/t/p/w500/8QDQExnfNFOtabLDKqfDQuHDsIg.jpg,Released,película,,,10,8.5,f,t,155,2025-04-28 12:35:42,"- **El mejor villano que he visto nuca**
- **Un reparto espectacular**
- **Un guion que engancha**",The Dark Knight
10,El caballero oscuro: La leyenda renace,2012,"Acción, Crimen, Drama, Suspense","Hace ocho años que Batman desapareció, dejando de ser un héroe para convertirse en un fugitivo. Al asumir la culpa por la muerte del fiscal del distrito Harvey Dent, el Caballero Oscuro decidió sacrificarlo todo por lo que consideraba, al igual que el Comisario Gordon, un bien mayor. La mentira funciona durante un tiempo, ya que la actividad criminal de la ciudad de Gotham se ve aplacada gracias a la dura Ley Dent. Pero todo cambia con la llegada de una astuta gata ladrona que pretende llevar a cabo un misterioso plan. Sin embargo, mucho más peligrosa es la aparición en escena de Bane, un terrorista enmascarado cuyos despiadados planes obligan a Bruce a regresar de su voluntario exilio.",Christopher Nolan,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt, Anne Hathaway",https://image.tmdb.org/t/p/w500/rrS7K8tXVFUBliIKWaRuSq65nWr.jpg,Released,película,,,8,7.8,f,f,49026,2025-04-28 12:35:42,,The Dark Knight Rises
113,Rush,2013,"Drama, Acción",La despiadada rivalidad de los años setenta en la Fórmula 1 entre James Hunt y Niki Lauda.,Ron Howard,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino",https://image.tmdb.org/t/p/w500/AqnOb3S6C9yttv9b2ZmrdZALmxR.jpg,Released,película,,,7.5,7.7,f,f,96721,2025-04-29 15:56:46.318533,,
