id,tmdb_id,titulo,anio,tipo,genero,director,elenco,estado,nota_personal,nota_imdb,pendiente,favorito,keywords
1,76726,Chronicle,2012,película,"Ciencia ficción, Drama, Suspense",Josh Trank,"Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly, Ashley Grace",Released,7,6.83,f,f,"{friendship,""super power"",teenager,""seattle, washington"",telekinesis,""coming of age"",intense,aftercreditsstinger,joyful,assertive,flying,loneliness,outcast,""found footage"",abuse,超能失控}"
2,652,Troya,2004,película,"Aventura, Historia, Bélica",Wolfgang Petersen,"Brad Pitt, Orlando Bloom, Eric Bana, Brian Cox, Sean Bean",Released,9,7.2,f,t,"{""sibling relationship"",""historical fiction"",""trojan war"",""ancient world"",""ancient greece"",epic,adultery,hostility,bravery,mythology,beauty,wall,fraud,""sword fight"",battlefield,""based on song, poem or rhyme"",pyre,peplum,""trojan horse"",""bronze age"",""sparta greece"",grand,ships,""sword and sandal"",helmet,exhilarated,""12th century bc""}"
3,1396,Breaking Bad,2008,serie,"Drama, Crimen","","Bryan Cranston, Aaron Paul, Anna Gunn, RJ Mitte, Dean Norris",Ended,9.5,8.9,f,t,"{""new mexico"",""drug dealer"",narcissism,psychopath,""terminal illness"",outlaw,""dark comedy"",cancer,tragedy,drugs,criminal,""meth lab"",""high school teacher"",""dea agent"",neo-western,narcissist,""albuquerque, new mexico"",""criminal lawyer"",""fall from grace"",cartel,""mexican cartel"",""male egos"",""crystal meth"",complex,methamphetamine,critical,thriller,brisk,vibrant}"
4,106646,El lobo de Wall Street,2013,película,"Crimen, Drama, Comedia",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler",Released,9,8,f,f,"{drugs,hilarious,""based on novel or book"",1980s,wealthy,""con man"",audacious,corruption,""based on true story"",cautionary,money,""wall street"",fraud,""drug addiction"",""anti hero"",""rise and fall"",""con artist"",stockbroker,cynical,stripping,hedonism,decadence,taunting,corrupt,shocking,""sharemarket fraud"",""desire for fame"",""financial market"",fame-seeking,""black monday"",callous,disrespectful,sarcastic,""based on real person""}"
5,4057,Mentes criminales,2005,serie,"Crimen, Drama, Misterio","",Kirsten Vangsness,Returning Series,8.3,8.3,f,f,"{fbi,""criminal mastermind"",""criminal profiler"",""crime investigation"",""special agent"",criminology,""police procedural"",powerful}"
6,2673,The O.C.,2003,serie,Drama,"","Peter Gallagher, Kelly Rowan, Ben McKenzie, Adam Brody, Melinda Clarke",Ended,10,7.8,f,t,"{california,""troubled teen"",""unlikely lovers"",""teenage romance"",""teen drama""}"
7,239571,Lo mejor de mí,2014,película,"Drama, Romance",Michael Hoffman,"Michelle Monaghan, James Marsden, Luke Bracey, Liana Liberato, Gerald McRaney",Released,8,7.5,f,f,"{""high school sweetheart""}"
8,269,One Tree Hill,2003,serie,Drama,"","James Lafferty, Bethany Joy Lenz, Sophia Bush, Austin Nichols, Robert Buckley",Ended,9.5,7.8,f,t,"{""teenage romance"",""teen drama"",""sibling relationship"",""high school"",basketball}"
9,155,El caballero oscuro,2008,película,"Drama, Acción, Crimen, Suspense",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal",Released,10,8.5,f,t,"{""criminal mastermind"",""organized crime"",superhero,""based on comic"",""super power"",""secret identity"",vigilante,bold,""crime fighter"",""super villain"",""anti hero"",sadism,chaos,scarecrow,""tragic hero"",""anti villain"",""district attorney"",neo-noir}"
10,49026,El caballero oscuro: La leyenda renace,2012,película,"Acción, Crimen, Drama, Suspense",Christopher Nolan,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt, Anne Hathaway",Released,8,7.8,f,f,"{superhero,""based on comic"",""secret identity"",vigilante,fight,terrorism,""crime fighter"",""tragic hero"",airplane,burglar,hostage,villainess,""time bomb"",cover-up,mobile,destruction,fighting,""criminal underworld"",""cat burglar"",flood}"
11,272,Batman Begins,2005,película,"Acción, Crimen, Drama",Christopher Nolan,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman",Released,8.8,7.7,f,f,"{inspirational,superhero,""based on comic"",""super power"",""secret identity"",vigilante,""loss of loved one"",""martial arts"",rivalry,""crime fighter"",""tragic hero"",undercover,ninja,""haunted by the past"",""evil doctor"",""master villain"",""unfulfilled love""}"
12,557,Spider-Man,2002,película,"Acción, Ciencia ficción",Sam Raimi,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson",Released,9.5,7.3,f,f,"{""teenage boy"",superhero,""based on comic"",""secret identity"",""new york city"",suspenseful,""loss of loved one"",""super villain"",hostility,adolescence,photographer,photography,spider,""bad boss"",villain,""teenage love"",evil,""taking responsibility""}"
13,417261,Hasta que te encontré,2018,película,"Romance, Drama",Bethany Ashton Wolf,"Alex Roe, Jessica Rothe, John Benjamin Hickey, Abby Ryder Fortson, Peter Cambor",Released,8.6,7.6,f,f,"{""new orleans, louisiana"",""country music"",""guitar player"",""second chance"",hometown,""death of mother"",""death of best friend"",""coping mechanisms"",""father daughter relationship"",avoidant,""loss and grief""}"
14,1072790,Cualquiera menos tú,2023,película,"Romance, Comedia",Will Gluck,"Sydney Sweeney, Glen Powell, Mia Artemis, Nat Buchanan, GaTa",Released,7,6.9,f,f,"{romcom,pathetic,australia,hiking,""based on play or musical"",""law school"",""shakespeare in modern dress"",aftercreditsstinger,duringcreditsstinger,""fake dating"",""destination wedding"",""sister's wedding"",cliché,лесбиянка,подруга-лесбиянка,""лесбийская свадьба"",сестра-лесбиянка}"
15,108978,Reacher,2022,serie,"Action & Adventure, Drama, Crimen","","Alan Ritchson, Maria Sten, Sonya Cassidy, Johnny Berchtold, Roberto Montesinos",Returning Series,8,8.1,f,f,"{brisk,assassin,""based on novel or book"",gun,police,conspiracy,agent,reboot,inspirational,forceful}"
16,257211,El becario,2015,película,Comedia,Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm, JoJo Kushner",Released,8.7,7.2,f,f,"{vibrant,friendship,""fish out of water"",enthusiastic,inspirational,""new york city"",""social media"",appreciative,office,relaxed,hopeful,internet,""father figure"",loving,sympathetic,intern,""san francisco, california"",lighthearted,masseuse,website,""tai chi"",""brooklyn, new york city"",""business start-up"",driver,""senior citizen"",ceo,gentleman,""woman director"",meditative,""city life"",thoughtful,chivalry,""retired life"",""professional woman"",introspective,internship,e-comm,sentimental,witty,retailer,adoring,empathetic,familiar,gentle,joyful,modest,optimistic,sincere,""elderly widower"",""online store""}"
